time, q0, q1, q2, q3, wx, wy, wz
6862.747096, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6869.624171, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6876.501246, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6882.336837, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6888.475968, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6895.514054, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6903.025089, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6908.365785, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6914.575073, -0.000012, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6922.227078, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6928.452535, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6935.326075, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6942.590387, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6948.427355, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6954.764207, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6961.989775, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6969.215342, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6974.857540, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6981.080176, -0.000012, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6988.415700, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6994.965684, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
7001.842760, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
7008.719835, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
7015.596911, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
7021.432502, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
7027.571632, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
7034.609719, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
7042.120754, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
7047.461449, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
7053.670738, -0.000012, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
7061.322743, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
7067.548199, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
7074.421740, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
7081.686052, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
7087.523019, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
7093.859871, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
7101.085440, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
7108.311008, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
7113.953204, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
7120.175839, -0.000012, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
7127.511365, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
7134.061347, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
7140.938424, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
7147.815500, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
7154.692576, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
7160.528167, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
7166.667298, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
7173.705385, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
7181.216420, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
7186.557114, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
7192.766403, -0.000012, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
7200.418408, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
7206.643864, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
7213.517405, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
7220.781717, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
7226.618684, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
7232.955536, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
7240.181105, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
7247.406673, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
7253.048869, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
7259.271504, -0.000012, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
7266.607030, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
7273.157012, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
7280.034089, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
7286.911165, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
7293.788241, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
7299.623832, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
7305.762963, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
7312.801050, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
7320.312085, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
7325.652780, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
7331.862068, -0.000012, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
7339.514073, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
7345.739530, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
7352.613071, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
